sequence_ID	prediction
CP007571.1_from_196963_to_197514_total_552_1	EC:2.7.7.6
CP007571.1_from_1006493_to_1007020_total_528_1	EC:3.6.5.n1
CP002427.1_from_28_to_1871115_total_1871088_1301	EC:3.5.3.6
CP012187.1_from_25_to_2770404_total_2770380_1285	EC:2.8.1.13
CP012187.1_from_25_to_2770404_total_2770380_2157	EC:7.6.2.2
CP014907.1_from_1302757_to_1345960_total_43204_22	EC:3.5.2.3
CP003700.1_from_267492_to_325641_total_58150_43	EC:3.1.4.16
CP003700.1_from_325654_to_327194_total_1541_2	EC:3.5.4.12
CP003700.1_from_670363_to_767106_total_96744_27	EC:1.3.1.14
CP003700.1_from_821973_to_892218_total_70246_53	EC:4.2.1.120;EC:5.3.3.3
CP003700.1_from_1252363_to_1282044_total_29682_37	EC:2.1.1.74
CP003700.1_from_1402150_to_1438669_total_36520_17	EC:3.2.2.-;EC:4.2.99.18
CP015966.1_from_2_to_3212948_total_3212947_159	EC:3.1.-.-;EC:3.6.4.12
CP015966.1_from_2_to_3212948_total_3212947_238	EC:2.7.4.1
CP015966.1_from_2_to_3212948_total_3212947_1346	EC:2.1.1.14
CP015966.1_from_2_to_3212948_total_3212947_2421	EC:3.2.1.22
CP015966.1_from_2_to_3212948_total_3212947_2502	EC:4.4.1.37
CP015966.1_from_2_to_3212948_total_3212947_2507	EC:5.1.2.1
CP015966.1_from_2_to_3212948_total_3212947_2747	EC:1.6.99.3
CP015966.1_from_2_to_3212948_total_3212947_3214	EC:1.1.98.6
AP014622.1_from_4_to_6814934_total_6814931_704	EC:2.7.1.221
AP014622.1_from_4_to_6814934_total_6814931_1239	EC:1.4.1.25
AP014622.1_from_4_to_6814934_total_6814931_1884	EC:4.1.3.27
AP014622.1_from_4_to_6814934_total_6814931_1886	EC:3.1.2.32
AP014622.1_from_4_to_6814934_total_6814931_5272	EC:2.3.1.267
AP014622.1_from_4_to_6814934_total_6814931_5985	EC:3.5.1.-;EC:3.5.1.62
CP016602.1_from_8_to_1986989_total_1986982_1871	EC:1.13.12.4
FM177140.1_from_7_to_3079195_total_3079189_463	EC:3.6.3.-
FM177140.1_from_7_to_3079195_total_3079189_1560	EC:2.8.1.13
FM177140.1_from_7_to_3079195_total_3079189_2368	EC:7.6.2.2
CP013692.1_from_2351590_to_2376721_total_25132_14	EC:2.7.1.2
CP015308.1_from_382187_to_387204_total_5018_1	EC:2.7.7.72
CP015308.1_from_1827895_to_1844430_total_16536_14	EC:4.4.1.37
